,title,visite,href
34,(세종맛집)하루 500그릇만 파는 뼈해장국의 지존. 후회 없는 맛. 늦게 가면 먹을 수 없는 집.,조회수 8.4천회,https://www.youtube.com/watch?v=9KwxrLoQnTY
35,"[세종대] 너무 많아서 2탄, 3탄 나올 것 같은 식당맛집 많은 군자동!! (우리 동네라는게 자랑스럽네)",조회수 8.3천회,https://www.youtube.com/watch?v=NqoBDFCoBcM
36,[세종맛집] 현지인 단골들이 인정한 버섯전골! 맛과 건강 모두 잡을 수 있는 세종 나성동 맛집 ‘박중사의힘내부대찌개 나성점’,조회수 8천회,https://www.youtube.com/watch?v=U7_XmoLbNvg
37,세종시 최대규모의 전통시장을 가다!,조회수 7.9천회,https://www.youtube.com/watch?v=g3M3VKKIsvA
38,서촌 세종마을 음식문화거리 꼭 가봐야 할 명소 BEST 6 / 훈타민,조회수 7.9천회,https://www.youtube.com/watch?v=BABnRmexQr0
39,조치원 폭식 데이트 💧먹고싶은거 다먹는 세종시 찐맛집 투어 (ft.하늘),조회수 7천회,https://www.youtube.com/watch?v=p_ZAtBW_XnE
40,"세종시 중국집 맛집 어택!! 중국요리가 9,900원....?",조회수 6.7천회,https://www.youtube.com/watch?v=PvDDgePkuVs
41,[여행 브이로그] 세종시x현지인 맛집 트립☆ '이태리가정식'과 '중국인주방장요리' 코스,조회수 6.7천회,https://www.youtube.com/watch?v=oE6z-r09WxI
42,진짜 먹고싶었던 옛날 비후까스 드디어 먹고 왔습니다 29년 전통 경양식레스토랑 세종 맛집 Beef cutlet famous restaurant in korea,조회수 6.6천회,https://www.youtube.com/watch?v=qWPUALKgnyg
43,세종시 순대국밥 맛집 신설집 | 부강 맛집,조회수 5.9천회,https://www.youtube.com/watch?v=6BxpMz_7Udg
44,"세종시 맛집 추천 ( 고운동, 아름동) | 세종사랑방맵 | 자칭미식가",조회수 5.5천회,https://www.youtube.com/watch?v=JjWr_rqvybI
45,"공무원 브이로그 ㅣ 맛집들이 더 많이 생겼으면 좋겠다 , 세종시 일상기록, 운동하고 사람들 만나고 혼자 여유롭게 편집도 하고, Sejong vlog, days in my life",조회수 5.6천회,https://www.youtube.com/watch?v=gukA9Hf4Scs
46,세종시 조치원 맛집 숯불 자갈구이,조회수 5.6천회,https://www.youtube.com/shorts/sXYvtI5PVbk
47,☆농부의 한우에서 점심을...☆(세종시 가성비 맛집을 찾아서~),조회수 5.3천회,https://www.youtube.com/shorts/BG4kzijlWT8
48,출구없는 순대국밥집 | 충남순대국밥 | 세종시 맛집,조회수 5.2천회,https://www.youtube.com/watch?v=5buAtrpAu3A
49,세종대맛집 BEST10 [대학교 맛집의 모든것-세종대학교],조회수 5천회,https://www.youtube.com/shorts/QGt36QTN7bQ
50,"세종,조치원의 1순위 맛집 신안골분식입니다, 특별했던 닭떡볶이를 먹고 왔어요",조회수 4.9천회,https://www.youtube.com/watch?v=1TsIqp3F0XE
51,김치찜 맛있다고 소문난 세종시 맛집 '부뚜막' 먹방!,조회수 4.8천회,https://www.youtube.com/watch?v=XVsolGPJ1bY
52,"하루 100인분 한정, 단일메뉴 뼈해장국 한가지만 판매하는 세종맛집 Pork rib hangover soup",조회수 4.8천회,https://www.youtube.com/watch?v=QAWb0ZlttFw
53,"#세종시에서뭐하지 | 나성동,한솔동맛집 | 한식, 중식, 일식, 양식, 분식 별로 준비했어",조회수 4.8천회,https://www.youtube.com/watch?v=O2nnU3Wbd9E
54,"홍익대학교 세종캠퍼스 맛집 탐방! | 편입생이 알려주는 추천식당, 카페를 알아보자",조회수 4.4천회,https://www.youtube.com/watch?v=WtvraCQ_w9E
55,아산 숨은 짬뽕맛집 세종식당,조회수 4.2천회,https://www.youtube.com/watch?v=NvalZT3zgBM
56,스산한 분위기의 산장가든 / 숯불갈비 / 세종시맛집 / 조치원맛집 / 돼지갈비,조회수 4.2천회,https://www.youtube.com/watch?v=k2HkJ7cqWc8
57,맛있습니다.. | 한솔동 세종순대 | 세종시 맛집,조회수 3.9천회,https://www.youtube.com/watch?v=160oGjPRyY0
58,세종 맛집 TOP10(카카오데이터 기반),조회수 4천회,https://www.youtube.com/watch?v=vklK1LuX2tU
59,강남 줄서서 먹는 맛집 '미즈 컨테이너' / 세종시에 드디어 상륙 / 반곡동 맛집,조회수 3.9천회,https://www.youtube.com/watch?v=lAIDaBMV9y0
60,믿고 먹는 세종시 맛집 탐방! 세종수산에서 회 먹방 담았어요~,조회수 3.6천회,https://www.youtube.com/watch?v=t3WJrOPglNg
61,짬뽕지존 기본에 충실한 짬뽕체인 | 세종시 맛집 다정동 짬뽕지존,조회수 3.5천회,https://www.youtube.com/watch?v=fbyo3xZ8fUE
62,1995년부터 이어져온 세종시 석갈비 맛집 리뷰 (산장가든),조회수 3.3천회,https://www.youtube.com/watch?v=KbvPNWMppXw
63,[닭볶음탕] 닭볶음탕 여긴 안먹을수가 없다!세종시 최고의 맛집 인정!!,조회수 3.1천회,https://www.youtube.com/watch?v=cXpRnRl--hg
64,(푸드토피아) 선녀와호떡꾼 세종전통시장 호떡&커피 산골짜기 옹달샘처럼 맑은 기름에 구운 꿀맛호떡 세종맛집 조치원 맛집 호떡맛집 맛집추천 koreanstreetfood,조회수 2.9천회,https://www.youtube.com/watch?v=raLDzvhYhw0
65,"낮에는 피크닉 맛집, 밤에는 야경 맛집_ 세종호수공원",조회수 2.9천회,https://www.youtube.com/watch?v=uNvR-j2rz_c
66,어죽 좋아하세요? 어죽맛집 찾았습니다 | 세종시 맛집 | 서산 어죽&해물칼국수,조회수 2.8천회,https://www.youtube.com/watch?v=Wh9B9qxkOTI
67,세종시맛집ㅣ감자탕ㅣ공기밥 막걸리 무한리필!ㅣ진성민속촌ㅣ김영철의 동네한바퀴 방영된 곳,조회수 2.8천회,https://www.youtube.com/watch?v=rwUtHsY2bXI
68,세종시 갈만한곳!! 세종호수공원 (슈하스코브라질 스테이크 무한리필점),조회수 2.6천회,https://www.youtube.com/shorts/ZgB4Frt58RQ
69,"도시 인근에 이렇게 좋은 뷰는 찾기 힘듭니다, 뷰 맛집 전원주택지!",조회수 2.6천회,https://www.youtube.com/watch?v=xFYlreRY3V8
70,세종시 수타면 맛집 정원반점 짜장면 짬뽕 | jjajangmyun jjambbong,조회수 2.5천회,https://www.youtube.com/watch?v=JvDlBjGrnqw
71,세종시 대박맛집 금남면 경성칼국수,조회수 2.5천회,https://www.youtube.com/watch?v=KEKgtIVv5xw
72,세종근교카페 Best 3/세종토박이 언니들이 추천하는 나들이가고 싶은 카페/ 찐뷰맛집,조회수 2.6천회,https://www.youtube.com/watch?v=uRCtke3llRo
73,드라이브코스 고복저수지에서 즐기는 겨울맛집 민물새우탕,조회수 2.4천회,https://www.youtube.com/watch?v=Aaj-3PZvg_s
74,"세종시 전의면의 6,000원 보리밥 정식 수준 ㄷㄷㄷ / 베어트리파크 옆이니 꼭 들려보시길 추천 / 세종시 맛집 '도랫말옛보리밥'",조회수 2.4천회,https://www.youtube.com/watch?v=SsR83F3N9qY
75,현지인이 추천하는 세종시 맛집/부속구이 전문점 거송식당 리뷰/맛에 취해 분위기에 취해 정에 취해...시간가는 줄 모르는 그곳을 다녀왔습니다/ 술먹방 /mukbang / 맛집탐방/,조회수 2.3천회,https://www.youtube.com/watch?v=MrQ2M1auh1o
76,"서울 4개뿐인 수제버거 맛집이 세종시에 / 유기농 발효번, 저온숙성 블랜딩 프리미엄 소고기 / 지방최초 세종시 개점",조회수 2.3천회,https://www.youtube.com/watch?v=hkU8j-3F_5Q
