,title,visite,href
35,"다시 가고 싶은 부산 맛집, 부산 찐맛 TOP 14",조회수 21만회,https://www.youtube.com/watch?v=9Cy7-wm25-k
36,부산여행 와서 죽기전에 꼭 먹어봐야 할 부산맛집 추천 BEST 7 안보면후회,조회수 20만회,https://www.youtube.com/watch?v=nXiziI8qJrw
37,예약제로만 운영합니다. 재방문각 함박스테이크와 라자냐 맛집,조회수 20만회,https://www.youtube.com/watch?v=sfMsXJtAox4
38,부산 맛집을 추천 받아보았습니다,조회수 20만회,https://www.youtube.com/watch?v=9qUloKNZqoE
39,부산초량맛집 모든분식메뉴가 2천원 끓인라면도2천원 부산가격파괴맛집,조회수 17만회,https://www.youtube.com/watch?v=cHe6RcBFhhk
40,"[New브희로그] 김희재 부산공연 ,부산 바다 여행 ,부산 맛집 탐방",조회수 16만회,https://www.youtube.com/watch?v=FodvAG4L0hk
41,부산 맛집 추천 TOP11 | 부산에서 반드시 가봐야 할 여행코스 11곳 #부산맛집추천,조회수 16만회,https://www.youtube.com/watch?v=TQKw_66kKrM
42,부산여행 와서 아무도 안알려주는 부산맛집 추천 BEST 7 안보면후회,조회수 16만회,https://www.youtube.com/watch?v=A1FdqEXJzZc
43,부산 맛집 다털고 왔다! 부산부모님댁 내려간날 먹방브이로그(남포동맛집 오향족발 똥집이모집 한우삼합 대게라면 TGIF 엄마몰래편의점 파리바게트 베스킨라빈스 단호박오리찜 집밥 콩국수),조회수 13만회,https://www.youtube.com/watch?v=6YhXFDK5FzU
44,해운대 맛집추천 best! 부산 토박이 푼젤모음zip. (제발 해성막창 기다리지마..),조회수 13만회,https://www.youtube.com/watch?v=c1mVUfdafNM
45,부산맛집:) 부산최고의 인스타각 중국집 (Feat.백객도),조회수 13만회,https://www.youtube.com/watch?v=yHeO68C5Mnw
46,"[CGV 부산편] 지독한 P들의 여행이란…ㅣ부산 맛집(빨간 떡볶이, 하얀오징어집), 롯데월드, 퀸덤 시청",조회수 13만회,https://www.youtube.com/watch?v=IT5wOhevQoI
47,채정안의 여행 겟레디윗미 부산 여행V-log 3편💄ㅣ여배우 비키니👙ㅣ부산 맛집🏖,조회수 13만회,https://www.youtube.com/watch?v=YGJ9pwXrbdY
48,부산맛집 안가보면 후회할 기장맛집 추천 BEST 7,조회수 12만회,https://www.youtube.com/watch?v=9H8xnXRluig
49,"Busan Travel부산 해운대 가성비맛집 총정리 베스트 8,이영상 하나만 보면 여행준비끝!! 돼지국밥,밀면,부산어묵,한우,해산물,시장 총정리편,해운대 찐맛집 다모아놨다!!",조회수 11만회,https://www.youtube.com/watch?v=ieyC2Dii3vs
50,이래서.. 짝퉁 사나… 🛍 (샤넬 오픈런/부산/부산맛집/부산브이로그2),조회수 11만회,https://www.youtube.com/watch?v=J6LxciOLfBs
51,[맛객리우] 1인 9만 원! 부산에 있는 한우 오마카세는 어떨까? (부산 NTM),조회수 11만회,https://www.youtube.com/watch?v=yGVMrTpYlD0
52,부산 최고의 맛집,조회수 11만회,https://www.youtube.com/watch?v=v38Bvu8XSc4
53,부산맛집 인정 강추! 무조건 좋은사람 소중한사람과 꼭 다녀오세요,조회수 10만회,https://www.youtube.com/watch?v=AJgmO6CqnzQ
